Término1,Término2,Co-ocurrencias
Algorithm,Programming,19
Algorithm,Experimental,10
Algorithm,Abstraction,9
Algorithm,Decomposition,10
Algorithm,Game-based learning,2
Algorithm,Logic,6
Algorithm,Coding,4
Algorithm,Problem solving,8
Algorithm,Evaluation,6
Algorithm,Computational Thinking Test,1
Algorithm,STEM,2
Algorithm,Spreadsheet,1
Algorithm,Critical thinking,2
Algorithm,Inquiry-based learning,1
Algorithm,Motivation,3
Algorithm,Generalization,6
Algorithm,Robotics,2
Algorithm,Algorithmic thinking,2
Algorithm,Scratch,1
Algorithm,Computational concepts,1
Algorithm,Variables,1
Algorithm,Reliability,1
Algorithm,Validity,1
Algorithm,Creativity,4
Algorithm,Problem-based learning,1
Algorithm,Post-test,1
Algorithm,Pre-test,1
Algorithm,Emotional,2
Algorithm,Loops,1
Algorithm,Mobile application,1
Algorithm,Sequences,1
Programming,Algorithm,19
Programming,Experimental,26
Programming,Coding,22
Programming,Evaluation,24
Programming,STEM,30
Programming,Motivation,21
Programming,Robotics,24
Programming,Scratch,45
Programming,Arduino,3
Programming,Computational concepts,8
Programming,Problem solving,31
Programming,Engagement,16
Programming,Critical thinking,13
Programming,Validity,4
Programming,Logical thinking,10
Programming,Pair programming,5
Programming,Logic,13
Programming,Self-efficacy,7
Programming,Project-based learning,4
Programming,Abstraction,28
Programming,Creativity,14
Programming,Algorithmic thinking,22
Programming,Flipped classroom,2
Programming,Post-test,7
Programming,Collaborative learning,1
Programming,Game-based learning,13
Programming,Decomposition,16
Programming,Cooperation,1
Programming,Computational Thinking Test,3
Programming,Unplugged activities,3
Programming,Perceptions,5
Programming,Sequences,4
Programming,Loops,8
Programming,Spreadsheet,3
Programming,Block programming,7
Programming,Gamification,6
Programming,Pre-test,3
Programming,Variables,6
Programming,Collaboration,8
Programming,Parallelism,4
Programming,Inquiry-based learning,2
Programming,Blockly Games,1
Programming,CSUnplugged,1
Programming,Generalization,7
Programming,Emotional,3
Programming,Directions,3
Programming,Reliability,2
Programming,Problem-based learning,5
Programming,Minecraft,1
Programming,Self-efficacy scale,1
Programming,Conditionals,3
Programming,Personalized learning,1
Programming,Modularity,1
Programming,ScratchJr,1
Programming,Codecombat,1
Experimental,Algorithm,10
Experimental,Programming,26
Experimental,Cooperative learning,1
Experimental,Project-based learning,3
Experimental,Motivation,3
Experimental,Robotics,4
Experimental,Logic,3
Experimental,Validity,1
Experimental,Algorithmic thinking,7
Experimental,Creativity,14
Experimental,Computational concepts,3
Experimental,Scratch,4
Experimental,Critical thinking,8
Experimental,Problem solving,7
Experimental,Collaborative learning,3
Experimental,Game-based learning,6
Experimental,Abstraction,3
Experimental,Coding,4
Experimental,Decomposition,1
Experimental,STEM,2
Experimental,Loops,2
Experimental,Evaluation,4
Experimental,Spreadsheet,1
Experimental,Inquiry-based learning,1
Experimental,Variables,3
Experimental,Collaboration,7
Experimental,Post-test,1
Experimental,Engagement,2
Experimental,Self-efficacy,2
Experimental,Self-efficacy scale,1
Experimental,Problem-based learning,1
Experimental,Pair programming,1
Experimental,Flipped classroom,1
Experimental,Emotional,3
Experimental,Logical thinking,1
Experimental,Modularity,1
