Categoría,Término,Frecuencia
Habilidades,Abstraction,55
Habilidades,Algorithm,66
Habilidades,Algorithmic thinking,37
Habilidades,Coding,50
Habilidades,Collaboration,40
Habilidades,Cooperation,6
Habilidades,Creativity,64
Habilidades,Critical thinking,50
Habilidades,Debug,0
Habilidades,Decomposition,34
Habilidades,Evaluation,81
Habilidades,Generalization,19
Habilidades,Logic,34
Habilidades,Logical thinking,17
Habilidades,Modularity,2
Habilidades,Patterns recognition,0
Habilidades,Problem solving,92
Habilidades,Programming,294
Conceptos Computacionales,Conditionals,5
Conceptos Computacionales,Control structures,0
Conceptos Computacionales,Directions,15
Conceptos Computacionales,Events,7
Conceptos Computacionales,Funtions,0
Conceptos Computacionales,Loops,10
Conceptos Computacionales,Modular structure,0
Conceptos Computacionales,Parallelism,4
Conceptos Computacionales,Sequences,8
Conceptos Computacionales,Software/hardware,0
Conceptos Computacionales,Variables,15
Actitudes,Emotional,17
Actitudes,Engagement,46
Actitudes,Motivation,45
Actitudes,Perceptions,17
Actitudes,Persistence,1
Actitudes,Self-efficacy,18
Actitudes,Self-perceived,0
Propiedades psicométricas,Classical Test Theory - CTT,0
Propiedades psicométricas,Confirmatory Factor Analysis - CFA,0
Propiedades psicométricas,Exploratory Factor Analysis - EFA,0
Propiedades psicométricas,Item Response Theory (IRT) - IRT,0
Propiedades psicométricas,Reliability,11
Propiedades psicométricas,Structural Equation Model - SEM,0
Propiedades psicométricas,Validity,18
Herramienta de evaluación,Beginners Computational Thinking test - BCTt,0
Herramienta de evaluación,Coding Attitudes Survey - ESCAS,0
Herramienta de evaluación,Collaborative Computing Observation Instrument,0
Herramienta de evaluación,Competent Computational Thinking test - cCTt,0
Herramienta de evaluación,Computational thinking skills test - CTST,0
Herramienta de evaluación,Computational concepts,12
Herramienta de evaluación,Computational Thinking Assessment for Chinese Elementary Students - CTA-CES,0
Herramienta de evaluación,Computational Thinking Challenge - CTC,0
Herramienta de evaluación,Computational Thinking Levels Scale - CTLS,0
Herramienta de evaluación,Computational Thinking Scale - CTS,0
Herramienta de evaluación,Computational Thinking Skill Levels Scale - CTS,0
Herramienta de evaluación,Computational Thinking Test - CTt,0
Herramienta de evaluación,Computational Thinking Test,7
Herramienta de evaluación,Computational Thinking Test for Elementary School Students,0
Herramienta de evaluación,Computational Thinking Test for Lower Primary - CTtLP,0
Herramienta de evaluación,Computational thinking-skill tasks on numbers and arithmetic,0
Herramienta de evaluación,Computerized Adaptive Programming Concepts Test - CAPCT,0
Herramienta de evaluación,CT Scale - CTS,0
Herramienta de evaluación,Elementary Student Coding Attitudes Survey - ESCAS,0
Herramienta de evaluación,General self-efficacy scale,0
Herramienta de evaluación,ICT competency test,0
Herramienta de evaluación,Instrument of computational identity,0
Herramienta de evaluación,KBIT fluid intelligence subtest,0
Herramienta de evaluación,Mastery of computational concepts Test and an Algorithmic Test,0
Herramienta de evaluación,Multidimensional 21st Century Skills Scale,0
Herramienta de evaluación,Self-efficacy scale,1
Herramienta de evaluación,STEM learning attitude scale,0
Herramienta de evaluación,The computational thinking scale,0
Diseño de investigación,No experimental,0
Diseño de investigación,Experimental,69
Diseño de investigación,Longitudinal research,0
Diseño de investigación,Mixed methods,0
Diseño de investigación,Post-test,13
Diseño de investigación,Pre-test,8
Diseño de investigación,Quasi-experiments,0
Nivel de escolaridad,Upper elementary education - Upper elementary school,0
Nivel de escolaridad,Primary school - Primary education - Elementary school,0
Nivel de escolaridad,Early childhood education – Kindergarten -Preschool,0
Nivel de escolaridad,Secondary school - Secondary education,0
Nivel de escolaridad,high school - higher education,0
Nivel de escolaridad,University – College,0
Medio,Block programming,7
Medio,Mobile application,3
Medio,Pair programming,5
Medio,Plugged activities,1
Medio,Programming,294
Medio,Robotics,40
Medio,Spreadsheet,5
Medio,STEM,73
Medio,Unplugged activities,6
Estrategia,Construct-by-self mind mapping,0
Estrategia,Construct-on-scaffold mind mapping,0
Estrategia,Design-based learning,0
Estrategia,Evidence-centred design approach,0
Estrategia,Gamification,11
Estrategia,Reverse engineering pedagogy,0
Estrategia,Technology-enhanced learning,1
Estrategia,Collaborative learning,7
Estrategia,Cooperative learning,1
Estrategia,Flipped classroom,7
Estrategia,Game-based learning,26
Estrategia,Inquiry-based learning,4
Estrategia,Personalized learning,2
Estrategia,Problem-based learning,8
Estrategia,Project-based learning,19
Estrategia,Universal design for learning,0
Herramienta,Alice,0
Herramienta,Arduino,6
Herramienta,Scratch,58
Herramienta,ScratchJr,1
Herramienta,Blockly Games,1
Herramienta,Code.org,2
Herramienta,Codecombat,1
Herramienta,CSUnplugged,1
Herramienta,Robot Turtles,1
Herramienta,Hello Ruby,0
Herramienta,Kodable,0
Herramienta,LightbotJr,0
Herramienta,KIBO robots,0
Herramienta,BEE BOT,0
Herramienta,CUBETTO,0
Herramienta,Minecraft,1
Herramienta,Agent Sheets,0
Herramienta,Mimo,0
Herramienta,Py– Learn,0
Herramienta,SpaceChem,0
