Término1,Término2,Co-ocurrencias
Abstraction,Algorithmic thinking,1
Abstraction,Logical thinking,1
Abstraction,Problem solving,1
Abstraction,Programming,1
Abstraction,Computational Thinking Test,1
Abstraction,Mixed methods,1
Abstraction,Post-test,1
Abstraction,Pre-test,1
Abstraction,University – College,1
Abstraction,Block programming,1
Abstraction,Robotics,1
Abstraction,Scratch,1
Abstraction,KIBO robots,1
Algorithmic thinking,Abstraction,1
Algorithmic thinking,Logical thinking,1
Algorithmic thinking,Problem solving,1
Algorithmic thinking,Programming,1
Algorithmic thinking,Computational Thinking Test,1
Algorithmic thinking,Mixed methods,1
Algorithmic thinking,Post-test,1
Algorithmic thinking,Pre-test,1
Algorithmic thinking,University – College,1
Algorithmic thinking,Block programming,1
Algorithmic thinking,Robotics,1
Algorithmic thinking,Scratch,1
Algorithmic thinking,KIBO robots,1
Logical thinking,Abstraction,1
Logical thinking,Algorithmic thinking,1
Logical thinking,Problem solving,1
Logical thinking,Programming,1
Logical thinking,Computational Thinking Test,1
Logical thinking,Mixed methods,1
Logical thinking,Post-test,1
Logical thinking,Pre-test,1
Logical thinking,University – College,1
Logical thinking,Block programming,1
Logical thinking,Robotics,1
Logical thinking,Scratch,1
Logical thinking,KIBO robots,1
Problem solving,Abstraction,1
Problem solving,Algorithmic thinking,1
Problem solving,Logical thinking,1
Problem solving,Programming,1
Problem solving,Computational Thinking Test,1
Problem solving,Mixed methods,1
Problem solving,Post-test,1
Problem solving,Pre-test,1
Problem solving,University – College,1
Problem solving,Block programming,1
Problem solving,Robotics,1
Problem solving,Scratch,1
Problem solving,KIBO robots,1
Programming,Abstraction,1
Programming,Algorithmic thinking,1
Programming,Logical thinking,1
Programming,Problem solving,1
Programming,Computational Thinking Test,1
Programming,Mixed methods,1
Programming,Post-test,1
Programming,Pre-test,1
Programming,University – College,2
Programming,Block programming,1
Programming,Robotics,1
Programming,Scratch,1
Programming,KIBO robots,1
Programming,Coding,1
Programming,Parallelism,1
Programming,Sequences,1
Programming,Engagement,1
Programming,Motivation,1
Programming,Coding Attitudes Survey - ESCAS,1
Programming,Elementary Student Coding Attitudes Survey - ESCAS,1
Programming,STEM learning attitude scale,1
Programming,Secondary school - Secondary education,1
Programming,Pair programming,1
Programming,STEM,1
Programming,Technology-enhanced learning,1
Programming,Py– Learn,1
Programming,Algorithm,1
Programming,Generalization,1
Programming,Emotional,1
Programming,Self-perceived,1
Programming,Structural Equation Model - SEM,1
Programming,Computational Thinking Assessment for Chinese Elementary Students - CTA-CES,1
Programming,Computerized Adaptive Programming Concepts Test - CAPCT,1
Programming,Blockly Games,1
Programming,LightbotJr,1
Computational Thinking Test,Abstraction,1
Computational Thinking Test,Algorithmic thinking,1
Computational Thinking Test,Logical thinking,1
Computational Thinking Test,Problem solving,1
Computational Thinking Test,Programming,1
Computational Thinking Test,Mixed methods,1
Computational Thinking Test,Post-test,1
Computational Thinking Test,Pre-test,1
Computational Thinking Test,University – College,1
Computational Thinking Test,Block programming,1
Computational Thinking Test,Robotics,1
Computational Thinking Test,Scratch,1
Computational Thinking Test,KIBO robots,1
Computational Thinking Test,Conditionals,1
Computational Thinking Test,Control structures,1
Computational Thinking Test,Variables,1
Computational Thinking Test,Confirmatory Factor Analysis - CFA,1
Computational Thinking Test,Item Response Theory (IRT) - IRT,1
Computational Thinking Test,Reliability,1
Computational Thinking Test,Validity,1
Computational Thinking Test,Beginners Computational Thinking test - BCTt,1
Computational Thinking Test,Competent Computational Thinking test - cCTt,1
Computational Thinking Test,Upper elementary education - Upper elementary school,1
Computational Thinking Test,Plugged activities,1
Computational Thinking Test,Unplugged activities,2
Computational Thinking Test,Arduino,1
Computational Thinking Test,CSUnplugged,1
Computational Thinking Test,Evaluation,1
Computational Thinking Test,Logic,1
Computational Thinking Test,Classical Test Theory - CTT,1
Computational Thinking Test,Computational Thinking Test for Lower Primary - CTtLP,1
Computational Thinking Test,Reverse engineering pedagogy,1
Computational Thinking Test,Collaborative learning,1
Computational Thinking Test,Robot Turtles,1
Computational Thinking Test,BEE BOT,1
Mixed methods,Abstraction,1
Mixed methods,Algorithmic thinking,1
Mixed methods,Logical thinking,1
Mixed methods,Problem solving,1
Mixed methods,Programming,1
Mixed methods,Computational Thinking Test,1
Mixed methods,Post-test,1
Mixed methods,Pre-test,1
Mixed methods,University – College,1
Mixed methods,Block programming,1
Mixed methods,Robotics,1
Mixed methods,Scratch,1
Mixed methods,KIBO robots,1
Mixed methods,Coding,1
Mixed methods,Software/hardware,1
Mixed methods,Perceptions,1
Mixed methods,Computational thinking-skill tasks on numbers and arithmetic,1
Mixed methods,KBIT fluid intelligence subtest,1
Mixed methods,high school - higher education,1
Mixed methods,Hello Ruby,1
Mixed methods,CUBETTO,1
Post-test,Abstraction,1
Post-test,Algorithmic thinking,1
Post-test,Logical thinking,1
Post-test,Problem solving,1
Post-test,Programming,1
Post-test,Computational Thinking Test,1
Post-test,Mixed methods,1
Post-test,Pre-test,1
Post-test,University – College,1
Post-test,Block programming,1
Post-test,Robotics,1
Post-test,Scratch,1
Post-test,KIBO robots,1
Pre-test,Abstraction,1
Pre-test,Algorithmic thinking,1
Pre-test,Logical thinking,1
Pre-test,Problem solving,1
Pre-test,Programming,1
Pre-test,Computational Thinking Test,1
Pre-test,Mixed methods,1
Pre-test,Post-test,1
Pre-test,University – College,1
Pre-test,Block programming,1
Pre-test,Robotics,1
Pre-test,Scratch,1
Pre-test,KIBO robots,1
University – College,Abstraction,1
University – College,Algorithmic thinking,1
University – College,Logical thinking,1
University – College,Problem solving,1
University – College,Programming,2
University – College,Computational Thinking Test,1
University – College,Mixed methods,1
University – College,Post-test,1
University – College,Pre-test,1
University – College,Block programming,1
University – College,Robotics,1
University – College,Scratch,1
University – College,KIBO robots,1
University – College,Algorithm,1
University – College,Generalization,1
University – College,Emotional,1
University – College,Self-perceived,1
University – College,Structural Equation Model - SEM,1
